region_name,sector_name,status
"Tatry i Podhale","Prze³om Bia³ki","completed"
"Brama Krakowska","Krzemionki","completed"
"Brama Krakowska","Liban","completed"
"Brama Krakowska","Piekary","completed"
"Brama Krakowska","Tyniec","completed"
"Brama Krakowska","Zakrzówek","completed"
"Dolina Brzoskwinki","Chroœnieñskie Ska³y","completed"
"Dolina Brzoskwinki","Czêœæ prywatna","completed"
"Dolina Brzoskwinki","Wêzie Ska³y","completed"
"Dolina Bêdkowska","Czarcie Wrota","completed"
"Dolina Bêdkowska","Fiala i Wzgórze 502","completed"
"Dolina Bêdkowska","Grupa Bramy Bêdkowskiej","completed"
"Dolina Bêdkowska","Grupa Dupy S³onia","completed"
"Dolina Bêdkowska","Grupa Gêsiarni","completed"
"Dolina Bêdkowska","Grupa Wielkiej Turni","completed"
"Dolina Bêdkowska","Grupa Wysokiej","completed"
"Dolina Bêdkowska","Grupa nad Stawami","completed"
"Dolina Bêdkowska","Grupa nad Szañcem","completed"
"Dolina Bêdkowska","Grupa £abajowej","completed"
"Dolina Bêdkowska","Sektor Zbêdowych Ska³","completed"
"Dolina Bêdkowska","W¹wóz Przecówki","completed"
"Dolina D³ubni i W¹wóz Ostryszni","W¹wóz Ostryszni","completed"
"Dolina Kluczwody","Czêœæ po³udniowa","completed"
"Dolina Kobylañska","Grupa Dwoistej Turni","completed"
"Dolina Kobylañska","Grupa Kuli","completed"
"Dolina Kobylañska","Grupa Nad róde³kiem","completed"
"Dolina Kobylañska","Grupa Okrêtu","completed"
"Dolina Kobylañska","Grupa Przydro¿nych Ska³","completed"
"Dolina Kobylañska","Grupa P³etwy","completed"
"Dolina Kobylañska","Grupa Wroniej Baszty","completed"
"Dolina Kobylañska","Grupa Zjazdowej Turni","completed"
"Dolina Kobylañska","Grupa ¯abiego Konia","completed"
"Dolina Pr¹dnika, Garliczki i Wedonki","Dolinka Za Piekarni¹","completed"
"Dolina Rac³awki","Grupa Rogo¿owej Ska³y","completed"
"Dolina Sanki","W¹wóz Pó³rzeczki","completed"
"Dolina Sanki","Zimny Dó³","completed"
"Dolina Szklarki","S³oneczne Ska³y","completed"
"Dolina Szklarki","£yse Ska³y","completed"
"Dolina Wiercicy","Przewodziszowice","completed"
"Dolina Wiercicy","Sektor Bia³ego Psa","completed"
"Dolina Wiercicy","Suliszowice","completed"
"Dolina Wiercicy","Trzebniów","completed"
"Dolina Wiercicy","Zastudnie","completed"
"Mirów","Grupa Ska³y z Grot¹","completed"
"Mirów","Grupa Trzech Sióstr","completed"
"Mirów","Grupa Turni Kukuczki","completed"
"Mirów","Ska³y przy Zamku","completed"
"Nielepice","Pierunkowy Dó³","completed"
"Nielepice","Wzgórze Dymniok","completed"
"Olkusz","Januszkowa Góra","completed"
"Olsztyn k/Czêstochowy","Grupa Dziewicy","completed"
"Olsztyn k/Czêstochowy","Góra Biak³o","completed"
"Olsztyn k/Czêstochowy","Góra Lipówki","completed"
"Olsztyn k/Czêstochowy","Góry Towarne","completed"
"Olsztyn k/Czêstochowy","Zamkowe Ska³y","completed"
"Podlesice","Góra Ko³oczek","completed"
"Podlesice","Góra Zborów","completed"
"Podlesice","Jastrzêbnik","completed"
"Podzamcze","Góra Birów","completed"
"Podzamcze","Rejon Cim","completed"
"Podzamcze","Rejon Go³êbnika","completed"
"Podzamcze","Rejon Zamku Ogrodzieniec","completed"
"Podzamcze","Sektor Grani z Kapeluszem","completed"
"Ryczów","Grochowiec Wielki","completed"
"Ryczów","Straszykowe Ska³y","completed"
"Skar¿yce","Okiennik Wielki","completed"
"Smoleñ","Ska³y Zegarowe","completed"
"Ska³y Czarnorzeckie","Kamieniec","completed"
"Ska³y Czarnorzeckie","Sokoli Grzbiet","completed"
"Ska³y Czarnorzeckie","Strzelnica","completed"
"L¹dek-Zdrój","Sto³owe Ska³y","completed"
"L¹dek-Zdrój","Trojan","completed"
"Pogórze Sudeckie","Boles³awiec","completed"
"Pogórze Sudeckie","Pe³cznica","completed"
"Pogórze Sudeckie","Zagórze Œl¹skie","completed"
"Pogórze Sudeckie","Z³otoryja","completed"
"Rudawy Janowickie","Grupa Decjusza i Rozpad³ej ","completed"
"Rudawy Janowickie","Grupa Fajki","completed"
"Rudawy Janowickie","Grupa Skalnego Mostu i Pieca","completed"
"Rudawy Janowickie","Rejon Zamku Bolczów","completed"
"Rudawy Janowickie","Staroœciñskie Ska³y","completed"
"Sokoliki","Krzy¿na Góra","completed"
"Sokoliki","Rejon Sokolika","completed"
"Sokoliki","Rejon Sukiennic","completed"
"Szczytnik","Orle Ska³y","completed"
