country,region_name,subregion_name,sector_name,link
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Racławki","https://wspinanie.pl/topo2/page,topo-rejony,rejon,24.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","https://wspinanie.pl/topo2/page,topo-rejony,rejon,25.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Prądnika","https://wspinanie.pl/topo2/page,topo-rejony,rejon,40.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Szklarki","https://wspinanie.pl/topo2/page,topo-rejony,rejon,43.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Kobylańska","https://wspinanie.pl/topo2/page,topo-rejony,rejon,52.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Kluczwody","https://wspinanie.pl/topo2/page,topo-rejony,rejon,107.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Bolechowicka","https://wspinanie.pl/topo2/page,topo-rejony,rejon,159.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Brama Krakowska","https://wspinanie.pl/topo2/page,topo-rejony,rejon,363.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Wedonki","https://wspinanie.pl/topo2/page,topo-rejony,rejon,396.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Garliczki","https://wspinanie.pl/topo2/page,topo-rejony,rejon,397.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Garb Tenczyński","https://wspinanie.pl/topo2/page,topo-rejony,rejon,400.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Sanki","https://wspinanie.pl/topo2/page,topo-rejony,rejon,464.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Rów Krzeszowicki","https://wspinanie.pl/topo2/page,topo-rejony,rejon,485.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Czubrówki","https://wspinanie.pl/topo2/page,topo-rejony,rejon,550.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Las Wolski","https://wspinanie.pl/topo2/page,topo-rejony,rejon,611.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Północna","Sokole Góry","https://wspinanie.pl/topo2/page,topo-rejony,rejon,18.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Północna","Mirów","https://wspinanie.pl/topo2/page,topo-rejony,rejon,110.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Północna","Rzędkowice","https://wspinanie.pl/topo2/page,topo-rejony,rejon,116.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Północna","Dolina Wiercicy","https://wspinanie.pl/topo2/page,topo-rejony,rejon,160.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Północna","Podlesice","https://wspinanie.pl/topo2/page,topo-rejony,rejon,162.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Północna","Kusięta","https://wspinanie.pl/topo2/page,topo-rejony,rejon,186.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Północna","Olsztyn","https://wspinanie.pl/topo2/page,topo-rejony,rejon,187.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Północna","Przełom Warty","https://wspinanie.pl/topo2/page,topo-rejony,rejon,215.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Północna","Siedlec","https://wspinanie.pl/topo2/page,topo-rejony,rejon,216.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Północna","Suliszowice","https://wspinanie.pl/topo2/page,topo-rejony,rejon,217.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Północna","Trzebniów","https://wspinanie.pl/topo2/page,topo-rejony,rejon,218.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Północna","Przewodziszowice","https://wspinanie.pl/topo2/page,topo-rejony,rejon,219.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Północna","Łutowiec","https://wspinanie.pl/topo2/page,topo-rejony,rejon,220.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Północna","Okiennik Wielki","https://wspinanie.pl/topo2/page,topo-rejony,rejon,408.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Północna","Lew","https://wspinanie.pl/topo2/page,topo-rejony,rejon,478.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Północna","Piaseczno","https://wspinanie.pl/topo2/page,topo-rejony,rejon,479.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Północna","Popielarka","https://wspinanie.pl/topo2/page,topo-rejony,rejon,488.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Północna","Skały Kroczyckie","https://wspinanie.pl/topo2/page,topo-rejony,rejon,526.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Północna","Morsko","https://wspinanie.pl/topo2/page,topo-rejony,rejon,531.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Północna","Skarżyce","https://wspinanie.pl/topo2/page,topo-rejony,rejon,545.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Północna","Żerkowice","https://wspinanie.pl/topo2/page,topo-rejony,rejon,561.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Północna","Popielowa","https://wspinanie.pl/topo2/page,topo-rejony,rejon,605.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Środkowa","Podzamcze","https://wspinanie.pl/topo2/page,topo-rejony,rejon,109.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Środkowa","Ryczów i okolice","https://wspinanie.pl/topo2/page,topo-rejony,rejon,168.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Środkowa","Karlin i okolice","https://wspinanie.pl/topo2/page,topo-rejony,rejon,257.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Środkowa","Dolina Dłubni","https://wspinanie.pl/topo2/page,topo-rejony,rejon,258.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Środkowa","Smoleń i okolice","https://wspinanie.pl/topo2/page,topo-rejony,rejon,259.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Środkowa","Olkusz i okolice","https://wspinanie.pl/topo2/page,topo-rejony,rejon,260.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Środkowa","Niegowonice","https://wspinanie.pl/topo2/page,topo-rejony,rejon,482.html"
"Polska","Jura Krakowsko-Częstochowska","Kamieniołom Sucha Góra","Nowy Kamieniołom","https://wspinanie.pl/topo2/page,topo-rejony,rejon,549.html"
"Polska","Sudety","Karkonosze","Karpacz","https://wspinanie.pl/topo2/page,topo-rejony,rejon,417.html"
"Polska","Sudety","Karkonosze","Krucze Skały - Karpacz","https://wspinanie.pl/topo2/page,topo-rejony,rejon,418.html"
"Polska","Sudety","Karkonosze","Góry Wałbrzyskie","https://wspinanie.pl/topo2/page,topo-rejony,rejon,419.html"
"Polska","Sudety","Karkonosze","Jelenia Góra i okolice","https://wspinanie.pl/topo2/page,topo-rejony,rejon,498.html"
"Polska","Sudety","Hejszowina","Szczeliniec Wielki","https://wspinanie.pl/topo2/page,topo-rejony,rejon,124.html"
"Polska","Sudety","Hejszowina","Narożniak","https://wspinanie.pl/topo2/page,topo-rejony,rejon,538.html"
"Polska","Sudety","Rudawy Janowickie","Sokoliki (Góry Sokole)","https://wspinanie.pl/topo2/page,topo-rejony,rejon,118.html"
"Polska","Sudety","Rudawy Janowickie","Zamkowy Grzbiet","https://wspinanie.pl/topo2/page,topo-rejony,rejon,176.html"
"Polska","Sudety","Rudawy Janowickie","Starościńskie skały","https://wspinanie.pl/topo2/page,topo-rejony,rejon,431.html"
"Polska","Sudety","Rudawy Janowickie","Krowiarki","https://wspinanie.pl/topo2/page,topo-rejony,rejon,551.html"
"Polska","Sudety","Rudawy Janowickie","Grupa Krowiarek","https://wspinanie.pl/topo2/page,topo-rejony,rejon,552.html"
"Polska","Sudety","Kotlina Kłodzka","Skały Lądeckie","https://wspinanie.pl/topo2/page,topo-rejony,rejon,421.html"
"Polska","Sudety","Kotlina Kłodzka","Pasterskie Skały","https://wspinanie.pl/topo2/page,topo-rejony,rejon,466.html"
"Polska","Sudety","Kotlina Kłodzka","Skały Malwa","https://wspinanie.pl/topo2/page,topo-rejony,rejon,490.html"
"Polska","Sudety","Kotlina Kłodzka","Orle Skały (Szczytnik)","https://wspinanie.pl/topo2/page,topo-rejony,rejon,602.html"
"Polska","Sudety","Kotlina Kłodzka","Międzygórze (Masyw Śnieżnika)","https://wspinanie.pl/topo2/page,topo-rejony,rejon,603.html"
"Polska","Sudety","Pełcznica","Pałecznica","https://wspinanie.pl/topo2/page,topo-rejony,rejon,573.html"
"Polska","Sudety","Spękane Skały","Spękane Prawe","https://wspinanie.pl/topo2/page,topo-rejony,rejon,596.html"
"Polska","Sudety","Spękane Skały","Spękane Lewe","https://wspinanie.pl/topo2/page,topo-rejony,rejon,597.html"
"Polska","Podkarpacie","Czarnorzeckie Skały","Kamieniec","https://wspinanie.pl/topo2/page,topo-rejony,rejon,131.html"
"Polska","Podkarpacie","Czarnorzeckie Skały","Sokoli Grzbiet","https://wspinanie.pl/topo2/page,topo-rejony,rejon,508.html"
"Polska","Podkarpacie","Czarnorzeckie Skały","Strzelnica","https://wspinanie.pl/topo2/page,topo-rejony,rejon,537.html"
